pin,office_name,district_id,state_id,district_name,state_name,delivery_status,division,region,circle
638452,Gobichettipalayam HO,TN-Erode,TN,Erode,Tamil Nadu,Delivery,Erode Division,Western Region Coimbatore,Tamilnadu Circle
636102,Atur H.O,TN-Salem,TN,Salem,Tamil Nadu,Delivery,Salem East Division,Western Region Coimbatore,Tamilnadu Circle
641601,Tirupur HO,TN-Tiruppur,TN,Tiruppur,Tamil Nadu,Delivery,Tirupur Division,Western Region Coimbatore,Tamilnadu Circle
624601,Palani HO,TN-Dindigul,TN,Dindigul,Tamil Nadu,Delivery,Dindigul Division,Southern Region Madurai,Tamilnadu Circle
629175,Thuckalay H.O,TN-Kanniyakumari,TN,Kanniyakumari,Tamil Nadu,Delivery,Kanniyakumari Division,Southern Region Madurai,Tamilnadu Circle
628501,Kovilpatti H.O,TN-Tuticorin,TN,Tuticorin,Tamil Nadu,Delivery,Kovilpatti Division,Southern Region Madurai,Tamilnadu Circle
630606,Manamadurai HO,TN-Sivaganga,TN,Sivaganga,Tamil Nadu,Delivery,Sivaganga Division,Southern Region Madurai,Tamilnadu Circle
625513,Bodinayakanur H.O,TN-Theni,TN,Theni,Tamil Nadu,Delivery,Theni Division,Southern Region Madurai,Tamilnadu Circle
625601,Periyakulam H.O,TN-Theni,TN,Theni,Tamil Nadu,Delivery,Theni Division,Southern Region Madurai,Tamilnadu Circle
627001,Tirunelveli HO,TN-Tirunelveli,TN,Tirunelveli,Tamil Nadu,Delivery,Tirunelveli Division,Southern Region Madurai,Tamilnadu Circle
628001,Tuticorin H.O,TN-Tuticorin,TN,Tuticorin,Tamil Nadu,Delivery,Tuticorin Division,Southern Region Madurai,Tamilnadu Circle
626101,Aruppukottai HO,TN-Virudhunagar,TN,Virudhunagar,Tamil Nadu,Delivery,Virudhunagar Division,Southern Region Madurai,Tamilnadu Circle
639104,Kulittalai H.O,TN-Karur,TN,Karur,Tamil Nadu,Delivery,Karur Division,Central Region Trichirapalli,Tamilnadu Circle
612002,Melakaveri H.O,TN-Thanjavur,TN,Thanjavur,Tamil Nadu,Delivery,Kumbakonam Division,Central Region Trichirapalli,Tamilnadu Circle
609001,Mayiladuthurai H.O,TN-Mayiladuthurai,TN,Mayiladuthurai,Tamil Nadu,Delivery,Mayiladuthurai Division,Central Region Trichirapalli,Tamilnadu Circle
609110,Sirkali H.O,TN-Mayiladuthurai,TN,Mayiladuthurai,Tamil Nadu,Delivery,Mayiladuthurai Division,Central Region Trichirapalli,Tamilnadu Circle
202001,Aligarh HO,UP-Aligarh,UP,Aligarh,Uttar Pradesh,Delivery,Aligarh Division,Agra Region,Uttar Pradesh Circle
203001,Bulandshahr HO,UP-Bulandshahr,UP,Bulandshahr,Uttar Pradesh,Delivery,Bulandshahar Division,Agra Region,Uttar Pradesh Circle
231216,Robertsganj HO,UP-Sonbhadra,UP,Sonbhadra,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
243601,Budaun HO,UP-Budaun,UP,Budaun,Uttar Pradesh,Delivery,Budaun Division,Bareilly Region,Uttar Pradesh Circle
247001,Saharanpur HO,UP-Saharanpur,UP,Saharanpur,Uttar Pradesh,Delivery,Saharanpur Division,Bareilly Region,Uttar Pradesh Circle
276001,Azamgarh HO,UP-Azamgarh,UP,Azamgarh,Uttar Pradesh,Delivery,Azamgarh Division,Gorakhpur Region,Uttar Pradesh Circle
277001,BALLIA HO,UP-Ballia,UP,Ballia,Uttar Pradesh,Delivery,Ballia Division,Varanasi Region,Uttar Pradesh Circle
272001,Basti HO,UP-Basti,UP,Basti,Uttar Pradesh,Delivery,Basti Division,Gorakhpur Region,Uttar Pradesh Circle
274304,Padrauna HO,UP-Kushi Nagar,UP,Kushi Nagar,Uttar Pradesh,Delivery,Deoria Division,Gorakhpur Region,Uttar Pradesh Circle
271001,Gonda HO,UP-Gonda,UP,Gonda,Uttar Pradesh,Delivery,Gonda Division,Gorakhpur Region,Uttar Pradesh Circle
273303,Maharajganj H.O,UP-Maharajganj,UP,Maharajganj,Uttar Pradesh,Delivery,Gorakhpur Division,Gorakhpur Region,Uttar Pradesh Circle
212601,Fatehpur HO,UP-Fatehpur,UP,Fatehpur,Uttar Pradesh,Delivery,Fatehpur Division,Kanpur Region,Uttar Pradesh Circle
208004,Kanpur Cantt HO,UP-Kanpur Nagar,UP,Kanpur Nagar,Uttar Pradesh,Delivery,Kanpur City Division,Kanpur Region,Uttar Pradesh Circle
208001,Kanpur HO,UP-Fatehpur,UP,Fatehpur,Uttar Pradesh,Delivery,Kanpur HO Division,Kanpur Region,Uttar Pradesh Circle
245101,New Hapur HO,UP-Hapur,UP,Hapur,Uttar Pradesh,Delivery,Ghaziabad Division,Lucknow  HQ Region,Uttar Pradesh Circle
263601,Almora HO,UK-Almora,UK,Almora,Uttarakhand,Delivery,Almora Division,DivReportingCircle,Uttarakhand Circle
700002,Cossipore HO,WB-Kolkata,WB,Kolkata,West Bengal,Delivery,Kolkata North Division,Kolkata Region,West Bengal Circle
741101,Krishnanagar HO,WB-Nadia,WB,Nadia,West Bengal,Delivery,Nadia North Division,Kolkata Region,West Bengal Circle
700144,Baruipur HO,WB-24 Paraganas South,WB,24 Paraganas South,West Bengal,Delivery,Baruipur Division,Kolkata Region,West Bengal Circle
736101,Cooch Behar HO,WB-Coochbehar,WB,Coochbehar,West Bengal,Delivery,Cooch Behar Division,North Bengal Region,West Bengal Circle
733101,Balurghat HO,WB-Dinajpur Dakshin,WB,Dinajpur Dakshin,West Bengal,Delivery,Dakshin Dinajpur Division,North Bengal Region,West Bengal Circle
713201,Durgapur HO,WB-Paschim Bardhaman,WB,Paschim Bardhaman,West Bengal,Delivery,Asansol Division,South Bengal Region,West Bengal Circle
713347,Raniganj HO,WB-Paschim Bardhaman,WB,Paschim Bardhaman,West Bengal,Delivery,Asansol Division,South Bengal Region,West Bengal Circle
721401,Contai HO,WB-Medinipur East,WB,Medinipur East,West Bengal,Delivery,Contai Division,South Bengal Region,West Bengal Circle
712101,Chinsurah HO,WB-Hooghly,WB,Hooghly,West Bengal,Delivery,Hooghly North Division,South Bengal Region,West Bengal Circle
711101,Howrah HO,WB-Howrah,WB,Howrah,West Bengal,Delivery,Howrah Division,South Bengal Region,West Bengal Circle
504001,Bhagyanagar S.O,TS-Adilabad,TS,Adilabad,Telangana,Non Delivery,Adilabad Division,Hyderabad Region,Telangana Circle
504001,Bhuktapur S.O,TS-Adilabad,TS,Adilabad,Telangana,Non Delivery,Adilabad Division,Hyderabad Region,Telangana Circle
504346,Indervelli S.O,AP-Prakasam,AP,Prakasam,Andhra Pradesh,Delivery,Adilabad Division,Hyderabad Region,Telangana Circle
504109,Kuntala S.O,TS-Nirmal,TS,Nirmal,Telangana,Delivery,Adilabad Division,Hyderabad Region,Telangana Circle
504323,Neradigonda S.O,TS-Adilabad,TS,Adilabad,Telangana,Delivery,Adilabad Division,Hyderabad Region,Telangana Circle
504106,Nirmal S.O,TS-Nirmal,TS,Nirmal,Telangana,Delivery,Adilabad Division,Hyderabad Region,Telangana Circle
504311,Ootnur S.O,TS-Adilabad,TS,Adilabad,Telangana,Delivery,Adilabad Division,Hyderabad Region,Telangana Circle
504105,Soan S.O,TS-Nirmal,TS,Nirmal,Telangana,Delivery,Adilabad Division,Hyderabad Region,Telangana Circle
504251,Agm Colony S.O,TS-Mancherial,TS,Mancherial,Telangana,Non Delivery,Adilabad Division,Hyderabad Region,Telangana Circle
504208,Grain Market S.O,TS-Mancherial,TS,Mancherial,Telangana,Non Delivery,Adilabad Division,Hyderabad Region,Telangana Circle
504296,M.G. Road S.O,TS-Kumuram Bheem Asifabad,TS,Kumuram Bheem Asifabad,Telangana,Non Delivery,Adilabad Division,Hyderabad Region,Telangana Circle
504220,Madaram Township S.O,TS-Mancherial,TS,Mancherial,Telangana,Delivery,Adilabad Division,Hyderabad Region,Telangana Circle
504219,Nennel S.O,TS-Mancherial,TS,Mancherial,Telangana,Delivery,Adilabad Division,Hyderabad Region,Telangana Circle
504301,Ramakrishnapur S.O,TS-Mancherial,TS,Mancherial,Telangana,Delivery,Adilabad Division,Hyderabad Region,Telangana Circle
504302,Integrated District Officers Complex(IDOC) Mancher,TS-Mancherial,TS,Mancherial,Telangana,Non Delivery,Adilabad Division,Hyderabad Region,Telangana Circle
506011,D H Suthoon S.O,TS-Hanumakonda,TS,Hanumakonda,Telangana,Delivery,Hanamkonda Division,Hyderabad Region,Telangana Circle
506015,K C Colony S.O,TS-Hanumakonda,TS,Hanumakonda,Telangana,Delivery,Hanamkonda Division,Hyderabad Region,Telangana Circle
506142,Madikonda S.O,TS-Hanumakonda,TS,Hanumakonda,Telangana,Delivery,Hanamkonda Division,Hyderabad Region,Telangana Circle
506004,R E College S.O,TS-Hanumakonda,TS,Hanumakonda,Telangana,Delivery,Hanamkonda Division,Hyderabad Region,Telangana Circle
506221,Buchannapet S.O,TS-Jangoan,TS,Jangoan,Telangana,Delivery,Hanamkonda Division,Hyderabad Region,Telangana Circle
506252,Ippaguda S.O,TS-Jangoan,TS,Jangoan,Telangana,Delivery,Hanamkonda Division,Hyderabad Region,Telangana Circle
506303,Waddicherla Nawabpet S.O,TS-Jangoan,TS,Jangoan,Telangana,Delivery,Hanamkonda Division,Hyderabad Region,Telangana Circle
